key;Course;Title;Quarter;Year;Day and Time;Instructor;Total Enrollment after  Phase 1;Seats Available after Phase 1;Phase 1 Price;Total Enrollment after  Phase 2;Seats Available after Phase 2;Phase 2 Price;Total Enrollment after  New Students;Seats Available after New Students;New Students Price;Total Enrollment after  Phase 3;Seats Available after Phase 3;Phase 3 Price
33922;33922-50;Advanced Industrial Organization II;Winter;2026;Thursday,Tuesday, 02:00 pm - 03:20 pm;Hortacsu, Ali;14;16;0;16;14;0;;;N/A;19;11;0
33931;33931-50;The Economics of Contracts;Winter;2026;Thursday,Tuesday, 03:30 pm - 04:50 pm;Frankel, Alexander;3;19;0;3;19;0;;;N/A;3;19;0
34101;34101-01;Entrepreneurial Finance and Private Equity;Winter;2026;Friday, 8:30 am - 11:30 am;Meadow, Scott;70;CLO;7946;70;CLO;10000;;;N/A;70;CLO;20000
34101;34101-85;Entrepreneurial Finance and Private Equity;Winter;2026;Saturday, 9:00 am - 12:00 pm;Meadow, Scott;57;8;0;54;11;0;54;11;0;70;CLO;10000
34102;34102-01;New Venture Strategy;Winter;2026;Tuesday, 1:30 pm - 4:30 pm;Bunch, Gregory;40;25;0;42;23;0;;;N/A;54;11;0
34102;34102-81;New Venture Strategy;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Schrager, James;24;41;0;26;39;0;27;38;0;51;14;0
34102;34102-85;New Venture Strategy;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Schrager, James;30;35;0;29;36;0;32;33;0;32;33;0
34103;34103-01;Building the New Venture;Winter;2026;Wednesday, 8:30 am - 11:30 am;Fried, Jennifer;23;22;0;26;19;0;;;N/A;28;17;0
34103;34103-85;Building the New Venture;Winter;2026;Saturday, 9:00 am - 12:00 pm;"Elnick, Thomas; Mayekar, Samir";18;27;0;15;30;0;18;27;0;29;16;0
34206;34206-01;Women As CEOs, Entrepreneurs, Investors, Executives & Directors ;Winter;2026;Tuesday, 1:30 pm - 4:30 pm;Rapp, Alyssa;65;CLO;25;65;CLO;2025;65;CLO;0;65;CLO;7000
34214;34214-01;User Experience Design for Intelligent Product-Service Systems;Winter;2026;Tuesday, 02:00 pm - 03:30 pm;Susani, Marco;30;6;0;30;6;0;30;6;0;34;2;0
34215;34215-01;Structuring Investments and Investing in Structure;Winter;2026;Wednesday, 1:30 pm - 4:30 pm;Sussman, Jason;23;42;0;25;40;0;25;40;0;23;42;0
34302;34302-01;Entrepreneurship through Acquisition;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;"Agnew, Mark; O'Connor, Brian";65;CLO;6789;65;CLO;13173;65;CLO;0;65;CLO;22689
34308;34308-81;Legal Foundations for Entrepreneurship and VC/PE Investments;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Gray, Michael;65;CLO;123;65;CLO;400;65;CLO;0;65;CLO;14405
34902;34902-50;Asset Pricing II;Winter;2026;Tuesday, 8:30 am - 11:30 am;"Nagel, Stefan; Xiu, Dacheng";14;6;0;14;6;0;;;N/A;17;3;0
34904;34904-50;Corporate Finance II;Winter;2026;Monday,Wednesday, 10:10 am - 11:30 am;Sufi, Amir;2;33;0;3;32;0;;;N/A;6;29;0
35000;35000-01;Investments;Winter;2026;Wednesday, 08:30 am - 11:30 am;Vandeweyer, Quentin;65;CLO;2111;65;CLO;4500;;;N/A;65;CLO;2000
35000;35000-02;Investments;Winter;2026;Thursday, 08:30 am - 11:30 am;Vandeweyer, Quentin;65;CLO;0;65;CLO;0;;;N/A;65;CLO;16
35000;35000-03;Investments;Winter;2026;Monday, 08:30 am - 11:30 am;Cassidy, William;46;19;0;53;12;0;;;N/A;51;14;0
35000;35000-04;Investments;Winter;2026;Monday, 01:30 pm - 04:30 pm;Cassidy, William;36;29;0;49;16;0;;;N/A;52;13;0
35000;35000-81;Investments;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Vandeweyer, Quentin;24;41;0;24;41;0;25;40;0;43;22;0
35000;35000-85;Investments;Winter;2026;Saturday, 9:00 am - 12:00 pm;Cassidy, William;25;40;0;23;42;0;25;40;0;24;41;0
35001;35001-01;Introductory Finance;Winter;2026;Thursday, 08:30 am - 11:30 am;Constantinides, George;16;49;0;17;48;0;17;48;0;15;50;0
35001;35001-85;Introductory Finance;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Constantinides, George;19;46;0;21;44;0;21;44;0;25;40;0
35010;35010-01;Managerial Finance;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Constantinides, George;32;33;0;33;32;0;;;N/A;29;36;0
35100;35100-01;Financial Instruments;Winter;2026;Tuesday, 1:30 pm - 4:30 pm;Boonstra, Brian;34;31;0;38;27;0;;;N/A;39;26;0
35126;35126-02;Quantitative Portfolio Management;Winter;2026;Tuesday, 08:30 am - 11:30 am;Koijen, Ralph;65;CLO;1001;65;CLO;8000;;;N/A;65;CLO;1021
35126;35126-01;Quantitative Portfolio Management;Winter;2026;Monday, 08:30 am - 11:30 am;Koijen, Ralph;56;9;0;62;3;0;62;3;0;64;1;0
35126;35126-81;Quantitative Portfolio Management;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Koijen, Ralph;27;38;0;29;36;0;29;36;0;62;3;0
35137;35137-01;Machine Learning in Finance;Winter;2026;Monday, 01:30 pm - 04:30 pm;Bybee, Leland;21;44;0;22;43;0;;;N/A;24;41;0
35137;35137-81;Machine Learning in Finance;Winter;2026;Monday, 6:00 pm - 9:00 pm;Bybee, Leland;50;15;0;50;15;0;50;15;0;49;16;0
35200;35200-01;Corporation Finance;Winter;2026;Wednesday, 08:30 am - 11:30 am;Noel, Pascal;65;CLO;1012;65;CLO;3314;;;N/A;65;CLO;6000
35200;35200-02;Corporation Finance;Winter;2026;Thursday, 08:30 am - 11:30 am;Noel, Pascal;65;CLO;0;65;CLO;1833;;;N/A;65;CLO;6501
35200;35200-81;Corporation Finance;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Kashyap, Anil;24;41;0;25;40;0;25;40;0;36;29;0
35201;35201-01;Cases in Financial Management;Winter;2026;Wednesday, 08:30 am - 11:30 am;Born, Laura;65;CLO;9290;65;CLO;15999;65;CLO;0;65;CLO;0
35207;35207-01;Consumer Finance;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Nelson, Scott;65;CLO;578;65;CLO;3007;65;CLO;0;65;CLO;4011
35207;35207-85;Consumer Finance;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Nelson, Scott;32;33;0;30;35;0;30;35;0;43;22;0
35213;35213-01;Emerging Markets Finance and Entrepreneurship;Winter;2026;Monday, 8:30 am - 11:30 am;Colonnelli, Emanuele;65;CLO;199;65;CLO;10000;65;CLO;0;65;CLO;0
35600;35600-60;Seminar: Finance;Winter;2026;Tuesday, 01:20 pm - 02:50 pm;"Koijen, Ralph; Sufi, Amir";0;30;0;0;30;0;;;N/A;3;27;0
35916;35916-50;New Developments in Public Finance;Winter;2026;Monday, 01:20 pm - 04:20 pm;"Ganong, Peter; Noel, Pascal; Zwick, Eric";6;16;0;7;15;0;;;N/A;9;13;0
35931;35931-02;Research Seminar;Winter;2026;Monday, 3:00 pm - 4:20 pm;"Patterson, Christina; Rossi-Hansberg, Esteban";3;17;0;3;17;0;;;N/A;3;17;0
35931;35931-50;Research Seminar;Winter;2026;Tuesday, 04:00 pm - 05:30 pm;"Nagel, Stefan; Noel, Pascal; Zhang, Anthony";0;14;0;0;14;0;;;N/A;4;10;0
36106;36106-01;Managerial Decision Modeling;Winter;2026;Thursday, 08:30 am - 11:30 am;Sandikci, Burhaneddin;15;23;0;15;23;0;;;N/A;13;25;0
36106;36106-02;Managerial Decision Modeling;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Sandikci, Burhaneddin;21;24;0;25;20;0;;;N/A;23;22;0
36106;36106-85;Managerial Decision Modeling;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Sandikci, Burhaneddin;16;29;0;16;29;0;16;29;0;15;30;0
36109;36109-01;Advanced Decision Models with Python;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Eisenstein, Donald;15;15;0;19;11;0;19;11;0;21;9;0
36109;36109-02;Advanced Decision Models with Python;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Eisenstein, Donald;15;15;0;17;13;0;17;13;0;18;12;0
36109;36109-81;Advanced Decision Models with Python;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Eisenstein, Donald;13;17;0;13;17;0;13;17;0;13;17;0
36110;36110-01;Application Development;Winter;2026;Monday, 01:30 pm - 04:30 pm;Betina, Raghu;23;7;0;22;8;0;22;8;0;18;12;0
36110;36110-02;Application Development;Winter;2026;Tuesday, 08:30 am - 11:30 am;Betina, Raghu;11;19;0;10;20;0;;;N/A;21;9;0
36600;36600-60;Workshop in Operations/Management Science;Winter;2026;Tuesday, 12:10 pm - 01:10 pm;Candogan, Ozan;2;28;0;3;27;0;;;N/A;3;27;0
36914;36914-50;Queueing Theory;Winter;2026;Friday, 09:00 am - 12:00 pm;Zhong, Yuan;5;15;0;5;15;0;;;N/A;5;15;0
37000;37000-01;Marketing Strategy;Winter;2026;Wednesday, 08:30 am - 11:30 am;Smith, Stephanie;26;39;0;28;37;0;;;N/A;30;35;0
37000;37000-02;Marketing Strategy;Winter;2026;Wednesday, 08:30 am - 11:30 am;Hu, Beidi;11;54;0;13;52;0;;;N/A;14;51;0
37000;37000-03;Marketing Strategy;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Hu, Beidi;54;11;0;65;CLO;39;;;N/A;63;2;0
37000;37000-04;Marketing Strategy;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Smith, Stephanie;29;36;0;29;36;0;;;N/A;27;38;0
37000;37000-81;Marketing Strategy;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Smith, Stephanie;18;47;0;18;47;0;19;46;0;18;47;0
37101;37101-01;Consumer Behavior;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Bartels, Daniel;65;CLO;1111;65;CLO;4612;;;N/A;65;CLO;4000
37101;37101-02;Consumer Behavior;Winter;2026;Thursday, 08:30 am - 11:30 am;Bartels, Daniel;65;CLO;0;65;CLO;723;;;N/A;65;CLO;351
37101;37101-81;Consumer Behavior;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Bartels, Daniel;23;42;0;25;40;0;26;39;0;56;9;0
37103;37103-01;Data-Driven Marketing;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Hitsch, Guenter;34;31;0;44;21;0;44;21;0;52;13;0
37202;37202-01;Pricing Strategies;Winter;2026;Monday, 08:30 am - 11:30 am;Rossi, Federico;32;33;0;37;28;0;37;28;0;40;25;0
37202;37202-02;Pricing Strategies;Winter;2026;Monday, 01:30 pm - 04:30 pm;Rossi, Federico;46;19;0;65;CLO;1;65;CLO;0;65;CLO;471
37209;37209-01;Brand Management in a Digital Age;Winter;2026;Monday, 05:00 pm - 08:00 pm;Hafen, Tom;27;38;0;32;33;0;;;N/A;44;21;0
37212;37212-01;Business with Purpose;Winter;2026;Monday, 01:30 pm - 04:30 pm;Sussman, Abigail;31;34;0;42;23;0;42;23;0;42;23;0
37212;37212-81;Business with Purpose;Winter;2026;Monday, 6:00 pm - 9:00 pm;Sussman, Abigail;20;45;0;22;43;0;24;41;0;27;38;0
37601;37601-60;Marketing Workshop;Winter;2026;Tuesday, 10:40 am - 12:00 pm;"Compiani, Giovanni; Donnelly, Kristin";3;27;0;3;27;0;;;N/A;3;27;0
37902;37902-50;Foundations of Advanced Quantitative Marketing;Winter;2026;Monday, 4:45 pm - 7:45 pm;Chintagunta, Pradeep;1;11;0;2;10;0;;;N/A;3;9;0
37904;37904-50;Advanced Quantitative Marketing;Winter;2026;Monday, 01:30 pm - 04:30 pm;"Dubé, Jean-Pierre; Hitsch, Guenter";3;32;0;4;31;0;;;N/A;4;31;0
37905;37905-50;Marketing Literature Seminar;Winter;2026;Monday, 08:30 am - 11:30 am;"Compiani, Giovanni; Dietvorst, Berkeley";8;12;0;10;10;0;;;N/A;13;7;0
37907;37907-50;Behavioral Science Research Methods in Marketing;Winter;2026;Thursday, 9:00 am - 12:00 pm;Urminsky, Oleg;3;17;0;3;17;0;;;N/A;3;17;0
38001;38001-01;Managing in Organizations;Winter;2026;Tuesday, 08:30 am - 11:30 am;Koch, Alex;48;17;0;61;4;0;;;N/A;60;5;0
38001;38001-02;Managing in Organizations;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Koch, Alex;65;CLO;4;65;CLO;211;;;N/A;65;CLO;18
38002;38002-01;Managerial Decision Making;Winter;2026;Thursday, 1:30 pm - 4:30 pm;Hastie, Reid;31;34;0;42;23;0;;;N/A;44;21;0
38002;38002-85;Managerial Decision Making;Winter;2026;Saturday, 9:00 am - 12:00 pm;Hastie, Reid;17;48;0;18;47;0;21;44;0;22;43;0
38103;38103-01;Strategies and Processes of Negotiation;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Wittenbrink, Bernd;44;11;0;55;CLO;4002;;;N/A;55;CLO;17036
38103;38103-02;Strategies and Processes of Negotiation;Winter;2026;Monday, 01:30 pm - 04:30 pm;Zinchenko, Elena;45;10;0;55;CLO;0;;;N/A;55;CLO;1
38103;38103-03;Strategies and Processes of Negotiation;Winter;2026;Wednesday, 08:30 am - 11:30 am;Burrows, John;55;CLO;1012;55;CLO;3527;;;N/A;55;CLO;5001
38103;38103-04;Strategies and Processes of Negotiation;Winter;2026;Thursday, 08:30 am - 11:30 am;Burrows, John;45;10;0;55;CLO;1012;;;N/A;55;CLO;3135
38103;38103-05;Strategies and Processes of Negotiation;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Wittenbrink, Bernd;35;20;0;37;18;0;;;N/A;48;7;0
38103;38103-81;Strategies and Processes of Negotiation;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Wittenbrink, Bernd;32;23;0;30;25;0;30;25;0;34;21;0
38107;38107-81;Crafting and Delivering Persuasive Narratives;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Weitzman, Hal;27;9;0;28;8;0;28;8;0;36;CLO;1285
38115;38115-85;Ethics of Business;Winter;2026;Saturday, 1:30 pm - 4:30 pm;Rollert, John;46;19;0;49;16;0;53;12;0;56;9;0
38119;38119-01;Designing a Good Life;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Epley, Nicholas;65;CLO;8592;65;CLO;11494;65;CLO;0;65;CLO;0
38119;38119-81;Designing a Good Life;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Epley, Nicholas;65;CLO;2158;65;CLO;2000;65;CLO;0;65;CLO;15201
38119;38119-02;Designing a Good Life;Winter;2026;Thursday, 08:30 am - 11:30 am;Epley, Nicholas;65;CLO;500;65;CLO;8118;65;CLO;0;65;CLO;10297
38120;38120-01;The Study of Behavioral Economics;Winter;2026;Tuesday, 08:30 am - 11:30 am;Pope, Devin;70;CLO;11246;70;CLO;21297;;;N/A;70;CLO;0
38120;38120-02;The Study of Behavioral Economics;Winter;2026;Wednesday, 01:30 pm - 04:30 pm;Pope, Devin;70;CLO;10267;70;CLO;0;;;N/A;70;CLO;0
38120;38120-81;The Study of Behavioral Economics;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Pope, Devin;70;CLO;6543;70;CLO;15000;70;CLO;0;70;CLO;0
38122;38122-01;Diversity in Organizations;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Risen, Jane;7;58;0;11;54;0;12;53;0;8;57;0
38122;38122-81;Diversity in Organizations;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Risen, Jane;8;57;0;6;59;0;6;59;0;9;56;0
38601;38601-60;Workshop in Behavioral Science;Winter;2026;Monday, 10:10 am - 11:30 am;"Fishbach, Ayelet; Todorov, Alexander";1;29;0;1;29;0;;;N/A;4;26;0
38901;38901-50;Current Topics in Behavioral Science I;Winter;2026;Wednesday, 03:30 pm - 06:30 pm;"Chaudhry, Shereen; Todorov, Alexander";7;28;0;7;28;0;;;N/A;9;26;0
39001;39001-01;Strategy and Structure: Markets and Organizations;Winter;2026;Thursday, 01:30 pm - 04:30 pm;Li, Ningzi;14;51;0;20;45;0;20;45;0;18;47;0
40000;40000-01;Operations Management: Business Process Fundamentals;Winter;2026;Tuesday, 08:30 am - 11:30 am;Candogan, Ozan;49;16;0;54;11;0;;;N/A;54;11;0
40000;40000-02;Operations Management: Business Process Fundamentals;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Candogan, Ozan;65;CLO;11;65;CLO;112;;;N/A;65;CLO;200
40101;40101-01;Supply Chain Strategy and Practice;Winter;2026;Tuesday, 08:30 am - 11:30 am;DeValve, Levi;57;8;0;65;CLO;10;65;CLO;0;65;CLO;789
40101;40101-02;Supply Chain Strategy and Practice;Winter;2026;Wednesday, 08:30 am - 11:30 am;DeValve, Levi;55;10;0;65;CLO;1;65;CLO;0;65;CLO;5352
40101;40101-81;Supply Chain Strategy and Practice;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;DeValve, Levi;70;CLO;35;70;CLO;2000;70;CLO;0;70;CLO;8000
40206;40206-01;Healthcare Business Analytics;Winter;2026;Thursday, 02:00 pm - 05:00 pm;Adelman, Dan;29;1;0;28;2;0;28;2;0;30;5;0
40206;40206-81;Healthcare Business Analytics;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Adelman, Dan;14;16;0;14;16;0;14;16;0;20;15;0
40915;40915-50;Frontiers in AI for Operational Decision-Making;Winter;2026;Monday, 01:30 pm - 04:30 pm;Candogan, Ozan;9;11;0;9;11;0;;;N/A;9;11;0
41000;41000-01;Business Statistics;Winter;2026;Thursday, 08:30 am - 11:30 am;Aragam, Bryon;65;CLO;1000;65;CLO;3000;;;N/A;64;1;0
41000;41000-02;Business Statistics;Winter;2026;Friday, 08:30 am - 11:30 am;Aragam, Bryon;33;32;0;32;33;0;;;N/A;26;39;0
41000;41000-03;Business Statistics;Winter;2026;Thursday, 08:30 am - 11:30 am;Liang, Tengyuan;34;31;0;48;17;0;;;N/A;52;13;0
41000;41000-81;Business Statistics;Winter;2026;Thursday, 6:00 pm - 9:00 pm;Liang, Tengyuan;29;36;0;27;38;0;34;31;0;41;24;0
41000;41000-85;Business Statistics;Winter;2026;Saturday, 9:00 am - 12:00 pm;Aragam, Bryon;18;47;0;18;47;0;28;37;0;30;35;0
41100;41100-02;Applied Regression Analysis;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Toulis (Panos), Panagiotis;65;CLO;1;61;4;0;61;4;0;61;4;0
41100;41100-01;Applied Regression Analysis;Winter;2026;Tuesday, 08:30 am - 11:30 am;Toulis (Panos), Panagiotis;42;23;0;50;15;0;50;15;0;52;13;0
41203;41203-81;Financial Econometrics;Winter;2026;Wednesday, 6:00 pm - 9:00 pm;Russell, Jeffrey;31;34;0;30;35;0;30;35;0;36;29;0
41207;41207-01;Causal Inference for Business Applications;Winter;2026;Thursday, 08:30 am - 11:30 am;Toulis (Panos), Panagiotis;18;47;0;19;46;0;19;46;0;20;45;0
41600;41600-60;Econometrics and Statistics Colloquium;Winter;2026;Thursday, 01:20 pm - 02:30 pm;Hansen, Christian;2;28;0;4;26;0;;;N/A;5;25;0
41902;41902-50;Statistical Inference;Winter;2026;Monday, 01:30 pm - 04:30 pm;Xiu, Dacheng;6;59;0;6;59;0;;;N/A;8;57;0
41910;41910-50;Time-series Analysis for Forecasting and Model Building;Winter;2026;Friday, 1:30 pm - 4:30 pm;Russell, Jeffrey;66;CLO;1;66;CLO;0;;;N/A;65;CLO;0
42001;42001-01;Competitive Strategy;Winter;2026;Tuesday, 08:30 am - 11:30 am;Humlum, Anders;65;CLO;5;65;CLO;4;;;N/A;65;CLO;51
42001;42001-02;Competitive Strategy;Winter;2026;Tuesday, 01:30 pm - 04:30 pm;Humlum, Anders;65;CLO;300;65;CLO;2222;;;N/A;65;CLO;500
42001;42001-03;Competitive Strategy;Winter;2026;Monday, 01:30 pm - 04:30 pm;Almagro, Milena;30;35;0;37;28;0;;;N/A;36;29;0
42001;42001-04;Competitive Strategy;Winter;2026;Tuesday, 05:00 pm - 08:00 pm;Almagro, Milena;35;30;0;33;32;0;;;N/A;30;35;0
42001;42001-81;Competitive Strategy;Winter;2026;Tuesday, 6:00 pm - 9:00 pm;Humlum, Anders;25;40;0;29;36;0;29;36;0;30;35;0
42108;42108-01;Corporate Governance;Winter;2026;Friday, 01:30 pm - 04:30 pm;Chookaszian, Dennis;51;14;0;60;5;0;60;5;0;65;CLO;3003
