key;Course;Title;Quarter;Year;Day and Time;Instructor;Total Enrollment after  Phase 1;Seats Available after Phase 1;Phase 1 Price;Total Enrollment after  Phase 2;Seats Available after Phase 2;Phase 2 Price;Total Enrollment after  Phase 1 New Students;Seats Available after Phase 1 New Students;Phase 1 New Students Price;Total Enrollment after  Phase 2 New Students;Seats Available after Phase 2 New Students;Phase 2 New Students Price;Total Enrollment after  Phase 3;Seats Available after Phase 3;Phase 3 Price
34101;34101-01;Entrepreneurial Finance and Private Equity;Autumn;2025;Monday,Wednesday, 10:10 am - 11:30 am;Kaplan, Steven;70;CLO;0;70;CLO;10000;70;CLO;0;70;CLO;0;70;CLO;0
34102;34102-01;New Venture Strategy;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Bunch, Gregory;17;48;0;20;45;0;44;21;0;54;11;0;47;18;0
33032;33032-81;Managing the Workplace;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Kole, Stacey;22;43;0;22;43;0;23;42;0;23;42;0;43;22;0
33050;33050-01;Macroeconomics and the Business Environment;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Vavra, Joseph;38;27;0;43;22;0;53;12;0;62;3;0;56;9;0
33050;33050-02;Macroeconomics and the Business Environment;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Vavra, Joseph;23;42;0;27;38;0;46;19;0;49;16;0;49;16;0
33050;33050-81;Macroeconomics and the Business Environment;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Vavra, Joseph;19;46;0;14;51;0;15;50;0;15;50;0;18;47;0
33230;33230-01;The Economics of Companies;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Syverson, Chad;36;29;0;44;21;0;70;CLO;1097;70;CLO;0;70;CLO;2244
33230;33230-81;The Economics of Companies;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Syverson, Chad;21;44;0;21;44;0;26;39;0;25;40;0;36;29;0
33351;33351-85;The Business of Pharmaceuticals;Autumn;2025;Saturday, 1:30 pm - 4:30 pm;Qato, Ream;17;48;0;18;47;0;25;40;0;25;40;0;22;43;0
34102;34102-81;New Venture Strategy;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;Bacon, Jeremie;22;43;0;16;49;0;26;39;0;26;39;0;37;28;0
34103;34103-01;Building the New Venture;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Metcalf, Scott;16;29;0;17;28;0;40;5;0;45;CLO;528;45;CLO;10
34901;34901-50;Asset Pricing I;Autumn;2025;Monday,Wednesday, 8:30 am - 9:50 am;"Hansen, Lars; Nagel, Stefan";13;22;0;15;20;0;22;13;0;22;13;0;34;1;0
33610;33610-60;Applied Economics Workshop;Autumn;2025;Wednesday, 01:20 pm - 02:50 pm;"Minni, Virginia; Zwick, Eric";3;27;0;5;25;0;8;22;0;8;22;0;9;21;0
33630;33630-60;Workshop: Money and Banking;Autumn;2025;Wednesday, 03:00 pm - 05:30 pm;Patterson, Christina;0;30;0;0;30;0;0;30;0;0;30;0;2;28;0
33650;33650-60;Workshop in Macro and International Economics;Autumn;2025;Monday, 12:00 pm - 01:15 pm;Adao, Rodrigo;0;30;0;0;30;0;0;30;0;0;30;0;2;28;0
33903;33903-50;Microeconomics Reading and Research Seminar;Autumn;2025;Monday, 04:30 pm - 06:00 pm;"Budish, Eric; Notowidigdo, Matthew";0;22;0;0;22;0;0;22;0;0;22;0;2;20;0
33914;33914-50;Topics in Information Economics;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Kamenica, Emir;6;29;0;6;29;0;8;27;0;8;27;0;13;22;0
33920;33920-50;Health Economics Literature Seminar;Autumn;2025;Thursday, 1:30 pm - 3:00 pm;Shapiro, Bradley;2;18;0;3;17;0;3;17;0;3;17;0;5;15;0
33921;33921-50;Advanced Industrial Organization I;Autumn;2025;Thursday, 08:30 am - 11:30 am;Syverson, Chad;6;29;0;6;29;0;6;29;0;6;29;0;13;22;0
33946;33946-50;International Macroeconomics and Trade;Autumn;2025;Monday, 8:30 am - 11:30 am;Adao, Rodrigo;0;22;0;1;21;0;1;21;0;1;21;0;21;4;0
35000;35000-01;Investments;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Vandeweyer, Quentin;12;53;0;12;53;0;55;10;0;65;CLO;1;62;3;0
35000;35000-02;Investments;Autumn;2025;Thursday, 08:30 am - 11:30 am;Vandeweyer, Quentin;13;52;0;14;51;0;29;36;0;40;25;0;38;27;0
35000;35000-03;Investments;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Dew-Becker, Ian;12;53;0;15;50;0;29;36;0;35;30;0;35;30;0
35000;35000-81;Investments;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Vandeweyer, Quentin;37;28;0;37;28;0;39;26;0;39;26;0;39;26;0
34106;34106-81;Commercializing Innovation: Tools to Research and Analyze Private Enterprises;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Meadow, Scott;48;7;0;45;10;0;45;10;0;45;10;0;55;CLO;10001
34111;34111-85;Entrepreneurial Selling;Autumn;2025;Saturday, 9:00 am - 12:00 pm;Alter, Michael;42;23;0;39;26;0;42;23;0;42;23;0;45;20;0
34208;34208-01;Outperform & Outlast: Operating and Investing in Closely Held Businesses;Autumn;2025;Monday,Wednesday, 8:30 am - 9:50 am;Shah, Jamie;26;39;0;23;42;0;39;26;0;40;25;0;41;24;0
34210;34210-01;Entrepreneurship in Healthcare and Life Sciences;Autumn;2025;Monday, 05:00 pm - 08:00 pm;Coe, Brian;19;21;0;23;17;0;57;3;0;58;4;0;50;12;0
34220;34220-85;Advanced New Venture Strategy Workshop;Autumn;2025;Saturday, 1:30 pm - 4:30 pm;Schrager, James;21;19;0;24;16;0;26;14;0;25;15;0;28;12;0
34302;34302-01;Entrepreneurship through Acquisition;Autumn;2025;Friday, 01:30 pm - 04:30 pm;"Littell, Catherine; Walker, Anthony";45;20;0;55;10;0;65;CLO;2500;65;CLO;0;63;2;0
34302;34302-81;Entrepreneurship through Acquisition;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Wolfe, Brian;60;5;0;60;5;0;64;1;0;65;CLO;2;65;CLO;1500
34705;34705-01;Entrepreneurial Discovery;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Tebbe, Mark;4;56;0;4;56;0;25;35;0;38;22;0;40;20;0
34705;34705-02;Entrepreneurial Discovery;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Tebbe, Mark;14;46;0;18;42;0;60;CLO;186;60;CLO;500;60;CLO;2000
35141;35141-01;Advanced Models of Security Pricing and Credit Risk;Autumn;2025;Thursday, 08:30 am - 11:30 am;Boonstra, Brian;22;43;0;23;42;0;41;24;0;41;24;0;41;24;0
34903;34903-50;Corporate Finance I;Autumn;2025;Monday, 03:00 pm - 06:00 pm;Diamond, Douglas;7;28;0;7;28;0;7;28;0;7;28;0;12;23;0
35200;35200-01;Corporation Finance;Autumn;2025;Thursday, 08:30 am - 11:30 am;Vasudevan, Kaushik;65;CLO;1234;65;CLO;6540;65;CLO;0;65;CLO;0;65;CLO;4837
35200;35200-02;Corporation Finance;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Vasudevan, Kaushik;38;27;0;48;17;0;52;13;0;53;12;0;57;8;0
35201;35201-01;Cases in Financial Management;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Born, Laura;65;CLO;7103;65;CLO;14123;65;CLO;0;65;CLO;0;65;CLO;0
35201;35201-02;Cases in Financial Management;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Born, Laura;65;CLO;5000;65;CLO;9007;65;CLO;0;65;CLO;0;65;CLO;0
35118;35118-01;Healthcare Finance;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Veronesi, Pietro;28;37;0;31;34;0;31;34;0;31;34;0;32;33;0
35121;35121-01;Behavioral Finance;Autumn;2025;Tuesday, 08:30 am - 11:30 am;Yan, Hongjun;25;40;0;28;37;0;51;14;0;50;15;0;46;19;0
35136;35136-01;Blockchains and Decentralized Finance;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Zhang, Anthony;15;50;0;21;44;0;26;39;0;29;36;0;50;15;0
35139;35139-01;The Economics of Digital Asset Products and Markets;Autumn;2025;Friday, 01:30 pm - 04:30 pm;van der Merwe, Andria;47;18;0;54;11;0;70;CLO;3676;69;1;0;70;CLO;1600
37105;37105-81;Data Science for Marketing Decision Making;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Compiani, Giovanni;12;53;0;12;53;0;12;53;0;12;53;0;11;54;0
35155;35155-01;The Public and Private Lending Markets: Investment Opportunities and Risks;Autumn;2025;Wednesday, 03:00 pm - 06:00 pm;"Kalcheva, Galina; Veronesi, Pietro";40;25;0;42;23;0;49;16;0;48;17;0;64;1;0
38003;38003-01;Power and Influence in Organizations;Autumn;2025;Thursday, 08:30 am - 11:30 am;Nussbaum, A.;45;20;0;55;10;0;70;CLO;327;70;CLO;1986;69;1;0
35215;35215-01;Behavioral and Institutional Finance;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Vishny, Robert;27;38;0;33;32;0;44;21;0;53;12;0;65;CLO;5300
35215;35215-81;Behavioral and Institutional Finance;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Vishny, Robert;28;37;0;31;34;0;31;34;0;31;34;0;43;22;0
35218;35218-01;Financial Crises;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Chabot, Ben;16;49;0;14;51;0;23;42;0;19;46;0;19;46;0
35600;35600-60;Seminar: Finance;Autumn;2025;Tuesday, 01:20 pm - 02:50 pm;"Bybee, Leland; Colonnelli, Emanuele";2;28;0;2;28;0;2;28;0;2;28;0;6;24;0
35601;35601-60;Applied Theory Workshop;Autumn;2025;Tuesday, 03:30 pm - 05:00 pm;Leshno, Jacob;0;30;0;0;30;0;0;30;0;0;30;0;0;30;0
35930;35930-02;Research Seminar;Autumn;2025;Monday, 10:30 am - 11:50 am;"Patterson, Christina; Rossi-Hansberg, Esteban";0;20;0;0;20;0;0;20;0;0;20;0;1;19;0
35930;35930-50;Research Seminar;Autumn;2025;Tuesday, 08:30 am - 11:30 am;"Nagel, Stefan; Noel, Pascal; Zhang, Anthony";1;21;0;1;21;0;1;21;0;1;21;0;2;20;0
36106;36106-01;Managerial Decision Modeling;Autumn;2025;Thursday, 08:30 am - 11:30 am;Niazadeh, Rad;19;26;0;24;21;0;31;14;0;40;5;0;32;13;0
36106;36106-81;Managerial Decision Modeling;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Niazadeh, Rad;13;32;0;13;32;0;14;31;0;14;31;0;19;26;0
36110;36110-01;Application Development;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Betina, Raghu;19;11;0;21;9;0;30;CLO;2237;30;CLO;0;30;CLO;17000
36600;36600-60;Workshop in Operations/Management Science;Autumn;2025;Tuesday, 12:10 pm - 01:10 pm;"Niazadeh, Rad; Taskesen, Bahar";2;28;0;3;27;0;3;27;0;5;25;0;7;23;0
36905;36905-50;Approximate Dynamic Programming;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Adelman, Dan;3;19;0;3;19;0;5;17;0;6;16;0;6;16;0
36906;36906-50;Stochastic Processes;Autumn;2025;Thursday, 08:30 am - 11:30 am;Ata, Baris;1;19;0;1;19;0;5;15;0;6;14;0;7;13;0
37000;37000-01;Marketing Strategy;Autumn;2025;Thursday, 08:30 am - 11:30 am;Shapiro, Bradley;44;21;0;53;12;0;65;CLO;4500;65;CLO;5983;65;CLO;3239
37000;37000-02;Marketing Strategy;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Korganbekova, Malika;2;63;0;3;62;0;65;CLO;0;65;CLO;0;61;4;0
37000;37000-03;Marketing Strategy;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Strulov-Shlain, Avner;8;57;0;8;57;0;24;41;0;37;28;0;28;37;0
37000;37000-04;Marketing Strategy;Autumn;2025;Wednesday, 08:30 am - 11:30 am;Strulov-Shlain, Avner;1;64;0;0;65;0;29;36;0;43;22;0;42;23;0
37000;37000-05;Marketing Strategy;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Strulov-Shlain, Avner;2;63;0;2;63;0;28;37;0;43;22;0;37;28;0
37000;37000-81;Marketing Strategy;Autumn;2025;Wednesday, 6:00 pm - 9:00 pm;Korganbekova, Malika;12;53;0;11;54;0;18;47;0;17;48;0;21;44;0
37101;37101-85;Consumer Behavior;Autumn;2025;Saturday, 9:00 am - 12:00 pm;Bartels, Daniel;48;17;0;50;15;0;51;14;0;51;14;0;70;CLO;2000
38003;38003-02;Power and Influence in Organizations;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Nussbaum, A.;18;47;0;29;36;0;70;CLO;405;70;CLO;1000;70;CLO;307
37301;37301-81;Digital Marketing;Autumn;2025;Friday, 6:00 pm - 9:00 pm;Mohan, Lil;32;33;0;31;34;0;36;29;0;35;30;0;35;30;0
37601;37601-60;Marketing Workshop;Autumn;2025;Tuesday, 10:40 am - 12:00 pm;"Shapiro, Bradley; Sussman, Abigail";4;26;0;4;26;0;4;26;0;4;26;0;4;26;0
38001;38001-01;Managing in Organizations;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;McGill, Ann;56;9;0;56;9;0;65;CLO;1798;65;CLO;2522;65;CLO;2
38001;38001-02;Managing in Organizations;Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;McGill, Ann;20;45;0;25;40;0;65;CLO;1502;65;CLO;202;64;1;0
38001;38001-81;Managing in Organizations;Autumn;2025;Tuesday, 6:00 pm - 9:00 pm;McGill, Ann;40;25;0;36;29;0;50;15;0;50;15;0;59;6;0
38003;38003-85;Power and Influence in Organizations;Autumn;2025;Saturday, 1:30 pm - 4:30 pm;Nussbaum, A.;38;27;0;37;28;0;48;17;0;45;20;0;45;20;0
41100;41100-01;Applied Regression Analysis;Autumn;2025;Monday, 08:30 am - 11:30 am;Smetanina, Ekaterina (Katja);1;64;0;0;65;0;30;35;0;31;34;0;27;38;0
41100;41100-02;Applied Regression Analysis;Autumn;2025;Wednesday, 3:30 pm - 6:30 pm;Smetanina, Ekaterina (Katja);1;64;0;1;64;0;13;52;0;12;53;0;12;53;0
38103;38103-02;Strategies and Processes of Negotiation;Autumn;2025;Wednesday, 05:00 pm - 08:00 pm;Kirgios, Erika;55;CLO;0;55;CLO;1000;55;CLO;0;55;CLO;0;55;CLO;0
38103;38103-81;Strategies and Processes of Negotiation;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Kirgios, Erika;38;17;0;37;18;0;44;11;0;46;9;0;55;CLO;1325
38120;38120-85;The Study of Behavioral Economics;Autumn;2025;Saturday, 9:00 am - 12:00 pm;Dean, Joshua;31;34;0;33;32;0;39;26;0;39;26;0;70;CLO;258
38126;38126-01;Culture (And Why It Matters);Autumn;2025;Wednesday, 08:30 am - 11:30 am;Talhelm, Thomas;33;32;0;38;27;0;70;CLO;1199;70;CLO;2378;70;CLO;2006
38126;38126-02;Culture (And Why It Matters);Autumn;2025;Wednesday, 01:30 pm - 04:30 pm;Talhelm, Thomas;36;29;0;39;26;0;70;CLO;900;70;CLO;1890;70;CLO;1327
38126;38126-81;Culture (And Why It Matters);Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Talhelm, Thomas;19;46;0;18;47;0;24;41;0;25;40;0;29;36;0
38601;38601-60;Workshop in Behavioral Science;Autumn;2025;Monday, 10:10 am - 11:30 am;"Koch, Alex; Pope, Devin";4;26;0;4;26;0;8;22;0;8;22;0;11;19;0
38916;38916-50;Behavioral Economics - Development & Observational Data;Autumn;2025;Tuesday, 01:30 pm - 04:30 pm;"Dean, Joshua; Pope, Devin";3;32;0;3;32;0;7;28;0;7;28;0;11;24;0
39101;39101-01;Technology Strategy;Autumn;2025;Monday, 08:30 am - 11:30 am;Knez, Marc;45;20;0;49;16;0;65;CLO;2117;65;CLO;2445;57;8;0
39101;39101-81;Technology Strategy;Autumn;2025;Monday, 6:00 pm - 9:00 pm;Knez, Marc;35;30;0;33;32;0;35;30;0;35;30;0;46;19;0
40101;40101-81;Supply Chain Strategy and Practice;Autumn;2025;Monday, 6:00 pm - 9:00 pm;DeHoratius, Nicole;61;4;0;59;6;0;60;5;0;60;5;0;65;CLO;103
40110;40110-01;Managing Service Operations;Autumn;2025;Thursday, 01:30 pm - 04:30 pm;Ward, Amy;32;13;0;41;4;0;45;CLO;2388;44;1;0;45;CLO;17
40110;40110-81;Managing Service Operations;Autumn;2025;Thursday, 6:00 pm - 9:00 pm;Ward, Amy;26;19;0;27;18;0;30;15;0;29;16;0;24;21;0
41000;41000-01;Business Statistics;Autumn;2025;Monday, 01:30 pm - 04:30 pm;Kaji, Tetsuya;11;54;0;11;54;0;65;CLO;2706;65;CLO;3512;65;CLO;4090
